dolar amerykañski;USD;3.8007;3.8775
dolar australijski;AUD;2.9462;3.0058
dolar kanadyjski;CAD;3.0355;3.0969
euro;EUR;4.535;4.6266
forint (Wêgry);HUF;0.012371;0.012621
frank szwajcarski;CHF;4.085;4.1676
funt szterling;GBP;5.2794;5.386
jen (Japonia);JPY;0.034869;0.035573
korona czeska;CZK;0.1733;0.1769
korona duñska;DKK;0.6097;0.6221
korona norweska;NOK;0.4497;0.4587
korona szwedzka;SEK;0.4474;0.4564
SDR (MFW);XDR;5.4243;5.5339
